ident;size;scanDuration;chunksTested;matchesAdded;appraisal;Cnt;CntDom;CntCode;CntData;#Blob;#Blob Stream Header;#GUID;#Strings;#Strings Stream Header;#US;#US Stream Header;#~;.data;.idata;.pdata;.rdata;.reloc;.rsrc;.text;0x2e 0x6b 0x66 0x6c 0x78 0x00 0xcc 0xcc ;DotNet Header;_RDATA;a$F-sH-*;methods;unknown
EXE PE.NET;6144;8;354;167;Fragile;12;12;0;12;1;0;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;6144;13;635;311;Fragile;18;18;2;16;1;1;1;2;0;1;0;9;0;0;0;0;0;1;0;0;0;0;0;2;0
EXE PE.NET;6144;8;293;102;Fragile;35;34;16;19;0;0;0;9;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;16;0
EXE PE64;3894272;1676;427;124;Fragile;61;58;12;49;0;0;0;0;0;0;0;0;0;28;0;21;0;0;12;0;0;0;0;0;0
EXE PE.NET;39936;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;6635326;12;17;1;One;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EXE PE64;6635326;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;6635326;184;176;55;Fragile;18;17;1;17;0;0;0;0;0;0;0;0;1;0;0;16;0;0;1;0;0;0;0;0;0
EXE PE64;2097152;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;2097152;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;2097152;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;2396672;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;2396672;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;2396672;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
data;73802;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
data;73802;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;315392;84;112;56;One;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
EXE PE64;315392;208;163;48;Robust;60;60;59;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;59;0;0;0;0;0;0
EXE PE64;315392;19;26;7;Robust;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
EXE PE.NET;586752;1063;901;302;Fragile;132;121;0;132;36;0;1;11;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;586752;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;586752;55;192;31;Fragile;20;20;3;17;0;0;0;6;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;3;0
EXE PE.NET;486912;21;183;34;Fragile;22;17;0;22;0;1;0;14;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;486912;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;486912;10;116;14;Fragile;11;2;1;10;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
EXE PE.NET;1119744;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5541897;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5541897;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5541897;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;197120;3;35;8;Fragile;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
EXE PE.NET;429056;22;195;38;Fragile;22;9;0;22;0;1;0;17;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;429056;14;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;429056;7;87;11;Fragile;8;3;1;7;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
EXE PE.NET;146944;45;325;99;Fragile;35;12;0;35;2;0;0;18;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;146944;6;35;7;Fragile;3;2;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
